n,k,seed,method,solved,time_s,plan_len,expanded,generated,bf_min,bf_max,bf_avg,max_frontier,max_closed,max_memory
3,5,0,astar_manhattan,True,0.000093,1,1,4,3,3,3.000000,3,1,4
3,5,0,fast_downward_lmcut,True,0.014326,1,2,3,,,,,,
3,5,1,astar_manhattan,True,0.000236,5,5,12,2,4,3.000000,7,5,12
3,5,1,fast_downward_lmcut,True,0.013278,5,6,15,,,,,,
3,5,2,astar_manhattan,True,0.000191,1,1,4,3,3,3.000000,3,1,4
3,5,2,fast_downward_lmcut,True,0.009166,1,2,3,,,,,,
3,5,3,astar_manhattan,True,0.000396,3,3,9,3,4,3.333333,6,3,9
3,5,3,fast_downward_lmcut,True,0.007482,3,4,10,,,,,,
3,5,4,astar_manhattan,True,0.000069,1,1,4,3,3,3.000000,3,1,4
3,5,4,fast_downward_lmcut,True,0.010524,1,2,3,,,,,,
3,5,5,astar_manhattan,True,0.000246,1,1,4,3,3,3.000000,3,1,4
3,5,5,fast_downward_lmcut,True,0.008414,1,2,3,,,,,,
3,5,6,astar_manhattan,True,0.000332,3,3,9,3,4,3.333333,6,3,9
3,5,6,fast_downward_lmcut,True,0.007171,3,4,10,,,,,,
3,5,7,astar_manhattan,True,0.000134,3,3,9,3,4,3.333333,6,3,9
3,5,7,fast_downward_lmcut,True,0.008770,3,4,10,,,,,,
3,5,8,astar_manhattan,True,0.000161,1,1,4,3,3,3.000000,3,1,4
3,5,8,fast_downward_lmcut,True,0.007777,1,2,3,,,,,,
3,5,9,astar_manhattan,True,0.000158,3,3,7,2,3,2.666667,4,3,7
3,5,9,fast_downward_lmcut,True,0.012159,3,4,8,,,,,,
3,5,10,astar_manhattan,True,0.000221,1,1,4,3,3,3.000000,3,1,4
3,5,10,fast_downward_lmcut,True,0.008061,1,2,3,,,,,,
3,5,11,astar_manhattan,True,0.000232,3,3,7,2,3,2.666667,4,3,7
3,5,11,fast_downward_lmcut,True,0.007417,3,4,8,,,,,,
3,5,12,astar_manhattan,True,0.000306,3,3,9,3,4,3.333333,6,3,9
3,5,12,fast_downward_lmcut,True,0.007187,3,4,10,,,,,,
3,5,13,astar_manhattan,True,0.000185,5,6,13,2,4,2.833333,7,6,13
3,5,13,fast_downward_lmcut,True,0.010818,5,6,15,,,,,,
3,5,14,astar_manhattan,True,0.000129,3,3,9,3,4,3.333333,6,3,9
3,5,14,fast_downward_lmcut,True,0.007096,3,4,10,,,,,,
3,5,15,astar_manhattan,True,0.000140,1,1,4,3,3,3.000000,3,1,4
3,5,15,fast_downward_lmcut,True,0.007433,1,2,3,,,,,,
3,5,16,astar_manhattan,True,0.000103,1,1,4,3,3,3.000000,3,1,4
3,5,16,fast_downward_lmcut,True,0.008111,1,2,3,,,,,,
3,5,17,astar_manhattan,True,0.000122,3,3,7,2,3,2.666667,4,3,7
3,5,17,fast_downward_lmcut,True,0.008388,3,4,8,,,,,,
